Date,HUR1,HUR2,HUR3,HUR4,MTB1,MTB2,MTB3,MTB4,WAP1,WAP2,WAP3,WAP4,STV1,STV2,STV3,STV4,SNO1,SNO2,SNO3,SNO4,LVN1,LVN2,LVN3,LVN4,MIS1,MIS2,MIS3,MIS4,CMT1,CMT2,CMT3,CMT4,PAR1,PAR2,PAR3,PAR4,WHP1,WHP2,WHP3,WHP4,TML1,TML2,TML3,TML4,MHM1,MHM2,MHM3,MHM4
1/9/2019,0.42,0.04,0.13,0.17,1.31,0.33,1.10,1.43,0.24,0.35,0.25,0.60,0.47,0.31,0.22,0.53,0.32,0.48,0.17,0.65,nan,,,0.00,0.36,0.33,0.28,0.61,0.57,1.03,0.24,1.27,0.52,0.91,0.11,1.02,0.46,0.59,0.12,0.71,0.67,0.80,0.00,0.80,0.42,0.85,0.00,0.85
1/10/2019,0.90,0.24,0.14,0.38,2.62,1.20,2.38,3.58,0.46,0.25,0.53,0.78,0.28,0.16,0.42,0.58,0.81,0.11,0.42,0.53,nan,,,0.00,0.23,0.34,0.20,0.54,0.69,0.60,0.83,1.43,0.52,0.60,1.04,1.64,0.20,0.28,0.41,0.69,0.32,0.13,0.63,0.76,0.27,0.12,0.51,0.63
1/11/2019,0.10,0.01,0.01,0.02,0.62,0.77,0.00,0.77,0.04,0.19,0.00,0.19,0.13,0.30,0.00,0.30,0.41,0.07,0.00,0.07,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.17,0.04,0.00,0.04,0.02,0.15,0.00,0.15,0.03,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1/12/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/13/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/14/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/15/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/16/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/17/2019,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,nan,,,0.00,0.19,0.00,0.01,0.01,0.06,0.00,0.00,0.00,0.08,0.00,0.01,0.01,0.05,0.00,0.00,0.00,0.67,0.00,0.03,0.03,0.57,0.00,0.01,0.01
1/18/2019,0.62,0.03,0.11,0.14,1.29,0.41,1.68,2.09,0.22,0.13,0.49,0.62,0.55,0.12,0.68,0.80,1.08,0.06,0.83,0.89,nan,,,0.00,0.42,0.18,0.21,0.39,0.29,0.21,0.64,0.85,0.44,0.11,1.51,1.62,0.26,0.08,0.47,0.55,0.36,0.22,1.18,1.40,0.29,0.29,1.04,1.33
